FileName,Plant species1,Species_level,Max_intractions,Plant species2,Family_level,Max_intractions,Plant species3,Functional groups,Max_intractions,Plant species4,Order_level,Max_intractions
M_PL_060_21.csv,Gaertnera sp,Nacoleia,7,Gaertnera sp,Crambidae,7,Stillingia lineata,Fly,15,Stillingia lineata,Diptera,15
M_PL_061_48.csv,Gastonia crassa,Apis.mellifera,25,Gastonia crassa,Apidae,25,Nephrosperma vanhoutteanum,Bee,28,Nephrosperma vanhoutteanum,Hymenoptera,28
M_PL_060_14.csv,Homalanthus populifolius,Chaetocnema,30,Homalanthus populifolius,Chrysomelidae,30,Sideroxylon cinereum,Fly,48,Sideroxylon cinereum,Diptera,48
M_PL_057.csv,Impatiens textori,Bombus.diversus.diversus,86,Hydrangea macrophylla,Halictidae,92,Deutzia crenata,Bee,204,Deutzia crenata,Hymenoptera,165
M_PL_019.csv,Kunzea muelleri,Leioproctus,185,Kunzea muelleri,Colletidae,185,Kunzea muelleri,Bee,186,Kunzea muelleri,Hymenoptera,186
M_PL_060_07.csv,Labourdonnaisia callophylloides,Technomyrmex.albipes,15,Labourdonnaisia callophylloides,Formicidae,15,Sideroxylon puberulum,Fly,25,Sideroxylon puberulum,Diptera,25
M_PL_060_22.csv,Labourdonnaisia callophylloides,Apis.mellifera,29,Labourdonnaisia callophylloides,Apidae,29,Stillingia lineata,Fly,45,Stillingia lineata,Diptera,45
M_PL_017.csv,Leontodon hispidus,Sphaerophoria.scripta,101,Daucus carota,Syrphidae,207,Daucus carota,Fly,305,Daucus carota,Diptera,305
M_PL_006.csv,Lotus corniculatus,Bombus.terrestris.lucorum,965,Lotus corniculatus,Apidae,1028,Leucanthemum vulgare,Fly,1451,Leucanthemum vulgare,Diptera,1480
M_PL_044.csv,Mallotus japonicus,Stomorhina.obsoleta,53,Mallotus japonicus,Calliphoridae,53,Castanopsis sieboldii,Bee,146,Castanopsis sieboldii,Coleoptera,117
M_PL_061_41.csv,Memecylon eleagni,Apis.mellifera,18,Memecylon eleagni,Apidae,18,Memecylon eleagni,Bee,19,Memecylon eleagni,Hymenoptera,19
M_PL_061_18.csv,Mimusops sechellarum,Lasioglossum.mahense,13,Mimusops sechellarum,Halictidae,13,Dillenia ferruginea,Bee,14,Dillenia ferruginea,Hymenoptera,14
M_PL_060_23.csv,Molinaea macrantha,Technomyrmex.albipes,21,Molinaea macrantha,Formicidae,21,Stillingia lineata,Fly,33,Stillingia lineata,Diptera,33
M_PL_033.csv,Nemopanthus mucronata,Dilophus.caurinus,87,Vaccinium myrtilloides,Apidae,88,Vaccinium myrtilloides,Bee,136,Vaccinium myrtilloides,Hymenoptera,136
M_PL_061_02.csv,Nephrosperma vanhoutteanum,Lygistorrhina,20,Nephrosperma vanhoutteanum,Keroplatidae,20,Nephrosperma vanhoutteanum,Fly,35,Nephrosperma vanhoutteanum,Diptera,35
M_PL_061_03.csv,Nephrosperma vanhoutteanum,Apis.mellifera,41,Nephrosperma vanhoutteanum,Apidae,41,Nephrosperma vanhoutteanum,Bee,76,Nephrosperma vanhoutteanum,Hymenoptera,76
M_PL_061_04.csv,Nephrosperma vanhoutteanum,Lasioglossum.mahense,26,Nephrosperma vanhoutteanum,Halictidae,26,Nephrosperma vanhoutteanum,Bee,60,Nephrosperma vanhoutteanum,Hymenoptera,51
M_PL_061_06.csv,Nephrosperma vanhoutteanum,Lasioglossum.mahense,34,Nephrosperma vanhoutteanum,Halictidae,34,Nephrosperma vanhoutteanum,Bee,79,Nephrosperma vanhoutteanum,Hymenoptera,70
M_PL_061_08.csv,Nephrosperma vanhoutteanum,Apis.mellifera,27,Nephrosperma vanhoutteanum,Apidae,27,Nephrosperma vanhoutteanum,Bee,44,Nephrosperma vanhoutteanum,Hymenoptera,44
M_PL_061_13.csv,Nephrosperma vanhoutteanum,Lasioglossum.mahense,32,Nephrosperma vanhoutteanum,Halictidae,32,Nephrosperma vanhoutteanum,Bee,39,Nephrosperma vanhoutteanum,Hymenoptera,39
M_PL_061_14.csv,Nephrosperma vanhoutteanum,Lasioglossum.mahense,47,Nephrosperma vanhoutteanum,Halictidae,47,Nephrosperma vanhoutteanum,Bee,58,Nephrosperma vanhoutteanum,Hymenoptera,58
M_PL_061_16.csv,Nephrosperma vanhoutteanum,Lasioglossum.mahense,59,Nephrosperma vanhoutteanum,Halictidae,59,Nephrosperma vanhoutteanum,Bee,73,Nephrosperma vanhoutteanum,Hymenoptera,70
M_PL_061_20.csv,Nephrosperma vanhoutteanum,Lasioglossum.mahense,15,Nephrosperma vanhoutteanum,Halictidae,15,Craterispermum microdon,Bee,18,Craterispermum microdon,Hymenoptera,18
M_PL_061_23.csv,Nephrosperma vanhoutteanum,Lasioglossum.mahense,36,Nephrosperma vanhoutteanum,Syrphidae,36,Nephrosperma vanhoutteanum,Bee,72,Nephrosperma vanhoutteanum,Hymenoptera,72
M_PL_061_24.csv,Nephrosperma vanhoutteanum,Lasioglossum.mahense,30,Nephrosperma vanhoutteanum,Halictidae,30,Nephrosperma vanhoutteanum,Bee,59,Nephrosperma vanhoutteanum,Hymenoptera,59
M_PL_061_29.csv,Nephrosperma vanhoutteanum,Lasioglossum.mahense,23,Psidium cattleianum,Apidae,26,Nephrosperma vanhoutteanum,Bee,46,Nephrosperma vanhoutteanum,Hymenoptera,46
M_PL_061_32.csv,Nephrosperma vanhoutteanum,Lasioglossum.mahense,31,Nephrosperma vanhoutteanum,Halictidae,31,Nephrosperma vanhoutteanum,Bee,60,Nephrosperma vanhoutteanum,Hymenoptera,60
M_PL_061_36.csv,Nephrosperma vanhoutteanum,Lasioglossum.mahense,27,Nephrosperma vanhoutteanum,Halictidae,27,Nephrosperma vanhoutteanum,Bee,46,Nephrosperma vanhoutteanum,Hymenoptera,45
M_PL_061_37.csv,Nephrosperma vanhoutteanum,Apis.mellifera,21,Nephrosperma vanhoutteanum,Apidae,21,Nephrosperma vanhoutteanum,Bee,41,Nephrosperma vanhoutteanum,Hymenoptera,41
