files,Order,Family,Functional Groups
M_PL_044.csv,Hemiptera,Tropiduchidae,True bug
M_PL_040.csv,Hymenoptera,Formicidae,Ant
M_PL_004.csv,Hymenoptera,Andrenidae,Bee
M_PL_004.csv,Hymenoptera,Apidae,Bee
M_PL_004.csv,Hymenoptera,Colletidae,Bee
M_PL_004.csv,Hymenoptera,Halictidae,Bee
M_PL_004.csv,Hymenoptera,Megachilidae,Bee
M_PL_057.csv,Hymenoptera,Melittidae,Bee
M_PL_055.csv,Hymenoptera,Braconidae,Parasitoid wasp
M_PL_054.csv,Hymenoptera,Chalcididae,Parasitoid wasp
M_PL_056.csv,Hymenoptera,Eulophidae,Parasitoid wasp
M_PL_013.csv,Hymenoptera,Argidae,Sawfly
M_PL_007.csv,Hymenoptera,Cephidae,Sawfly
M_PL_057.csv,Hymenoptera,Cimbicidae,Sawfly
M_PL_057.csv,Hymenoptera,Pamphiliidae,Sawfly
M_PL_044.csv,Hymenoptera,Tenthredinidae,Sawfly
M_PL_013.csv,Hymenoptera,Pompilidae,Spider wasp
M_PL_061_33.csv,Hymenoptera,Crabronidae,Wasp
M_PL_058.csv,Hymenoptera,Heloridae,Wasp
M_PL_060_04.csv,Hymenoptera,Ichneumonidae,Wasp
M_PL_060_10.csv,Hymenoptera,Pteromalidae,Wasp
M_PL_044.csv,Hymenoptera,Scoliidae,Wasp
M_PL_040.csv,Hymenoptera,Sphecidae,Wasp
M_PL_013.csv,Hymenoptera,Tiphiidae,Wasp
M_PL_004.csv,Hymenoptera,Vespidae,Wasp
M_PL_004.csv,Lepidoptera,Hesperiidae,Butterfly
M_PL_004.csv,Lepidoptera,Lycaenidae,Butterfly
M_PL_006.csv,Lepidoptera,Nymphalidae,Butterfly
M_PL_040.csv,Lepidoptera,Papilionidae,Butterfly
M_PL_004.csv,Lepidoptera,Pieridae,Butterfly
M_PL_057.csv,Lepidoptera,Callidulidae,Moth
M_PL_044.csv,Lepidoptera,Choreutidae,Moth
M_PL_044.csv,Lepidoptera,Crambidae,Moth
M_PL_056.csv,Lepidoptera,Epicopeiidae,Moth
M_PL_004.csv,Lepidoptera,Erebidae,Moth
M_PL_057.csv,Lepidoptera,Gelechiidae,Moth
M_PL_057.csv,Lepidoptera,Geometridae,Moth
M_PL_056.csv,Lepidoptera,Glyphipterigidae,Moth
M_PL_044.csv,Lepidoptera,Gracillariidae,Moth
M_PL_060_04.csv,Lepidoptera,Lecithoceridae,Moth
M_PL_006.csv,Lepidoptera,Noctuidae,Moth
M_PL_060_08.csv,Lepidoptera,Nolidae,Moth
M_PL_056.csv,Lepidoptera,Pterophoridae,Moth
M_PL_057.csv,Lepidoptera,Pyralidae,Moth
M_PL_044.csv,Lepidoptera,Sphingidae,Moth
M_PL_006.csv,Lepidoptera,Zygaenidae,Moth
M_PL_056.csv,Mecoptera,Panorpodidae,Scorpionfly
M_PL_044.csv,Megaloptera,Sialidae,Alderfly
M_PL_044.csv,Neuroptera,Chrysopidae,Lacewing
M_PL_044.csv,Neuroptera,Hemerobiidae,Lacewing
M_PL_055.csv,Odonata,Coenagrionidae,Damselfly
M_PL_044.csv,Orthoptera,Mogoplistidae,Cricket
M_PL_055.csv,Orthoptera,Trigonidiidae,Cricket
M_PL_055.csv,Orthoptera,Tettigoniidae,Katydid
M_PL_044.csv,Psocodea,Caeciliusidae,Barklice
M_PL_044.csv,Psocodea,Dasydemellidae,Barklice
M_PL_044.csv,Psocodea,Lachesillidae,Barklice
M_PL_044.csv,Psocodea,Psocidae,Barklice
M_PL_044.csv,Psocodea,Stenopsocidae,Barklice
M_PL_044.csv,Thysanoptera,Phlaeothripidae,Thrip
M_PL_044.csv,Trichoptera,Hydropsychidae,Caddisfly
