,Acanthosomatidae,Achilidae,Acroceridae,Adelidae,Aderidae,Agalliidae,Agromyzidae,Agyrtidae,Alydidae,Andrenidae,Anisolabididae,Anthicidae,Anthocoridae,Anthomyidae,Anthomyiidae,Anthribidae,Apataniidae,Aphididae,Aphrophoridae,Apidae,Apionidae,Argidae,Ascidae,Asilidae,Attelabidae,Attevidae,Aulacidae,Berytidae,Bethylidae,Bibionidae,Biblionidae,Bombyliidae,Brachyceridae,Braconidae,Brentidae,Buprestidae,Byrrhidae,Byturidae,Caeciliusidae,Calcinidae,Callidulidae,Calliphoridae,Camptoneuritidae,Canacidae,Cantharidae,Carabidae,Carsidaridae,Cecidomyiidae,Cephidae,Cerambycidae,Ceratopogonidae,Cercopidae,Chalcididae,Chamaemyiidae,Chironomidae,Chloropidae,Choreutidae,Chrysididae,Chrysomelidae,Chrysopidae,Cicadellidae,Cimbicidae,Cixiidae,Cleridae,Clusiidae,Coccinellidae,Coenagrionidae,Colletidae,Conopidae,Coreidae,Corylophidae,Crabronidae,Crambidae,Cryptophagidae,Culicidae,Curculionidae,Cydnidae,Cynipidae,Dasydemellidae,Dasytidae,Deltocephalidae,Derbidae,Dermestidae,Diapriidae,Diastatidae,Dictyopharidae,Dolichopodidae,Drosophilidae,Dryomyzidae,Dryophthoridae,Dytiscidae,Ectobiidae,Elateridae,Elmidae,Empididae,Encyrtidae,Endomychidae,Entomobryidae,Ephemerellidae,Ephydridae,Epicopeiidae,Erebidae,Eriophyidae,Erotylidae,Eulophidae,Eumenidae,Eurytomidae,Evacanthidae,Evaniidae,Fanniidae,Figitidae,Flatidae,Forficulidae,Formicidae,Fulgoridae,Gasteruptiidae,Gelechiidae,Geocoridae,Geometridae,Glaphyridae,Glyphipterigidae,Gracillariidae,Halictidae,Heleomyzidae,Heliozelidae,Heloridae,Hemerobiidae,Hesperiidae,Histeridae,Hybosoridae,Hybotidae,Hydrometridae,Hydrophilidae,Hydropsychidae,Ichneumonidae,Inachoididae,Isotomidae,Kateretidae,Keroplatidae,Lachesillidae,Lampyridae,Lasiocampidae,Latridiidae,Lauxaniidae,Lecithoceridae,Leiodidae,Leucospidae,Libellulidae,Limacodidae,Limnephilidae,Limnoriidae,Limoniidae,Linyphiidae,Lonchaeidae,Lonchopteridae,Lycaenidae,Lycidae,Lycosidae,Lygaeidae,Malachiidae,Masaridae,Megachilidae,Megalopodidae,Melittidae,Meloidae,Melyridae,Membracidae,Microphysidae,Micropterigidae,Milichiidae,Miridae,Mogoplistidae,Mordellidae,Muscidae,Mutillidae,Mycetophilidae,Mycteridae,Mydidae,Mythicomyiidae,Nabidae,Nemestrinidae,Nemopteridae,Nepticulidae,Nitidulidae,Noctuidae,Nogodinidae,Notodontidae,Nymphalidae,Oedemeridae,Oestridae,Orsodacnidae,Oxycarenidae,Pamphiliidae,Panorpidae,Panorpodidae,Papilionidae,Pentatomidae,Perilampidae,Phalacridae,Phlaeothripidae,Phoridae,Pieridae,Piophilidae,Pipunculidae,Plataspidae,Platygastridae,Platypezidae,Platystomatidae,Polleniidae,Pompilidae,Proctotrupidae,Psilidae,Psocidae,Psyllidae,Pteromalidae,Pterophoridae,Ptilodactylidae,Pyralidae,Pyrochroidae,Pyrrhocoridae,Reduviidae,Rhagionidae,Rhiniidae,Rhinophoridae,Rhopalidae,Rhynchitidae,Rhyparochromidae,Ricaniidae,Ripiphoridae,Saldidae,Salpingidae,Sapygidae,Sarcophagidae,Scarabaeidae,Scathophagidae,Scatopsidae,Scelionidae,Scenopinidae,Sciaridae,Sciomyzidae,Scirtidae,Sclerosomatidae,Scoliidae,Scraptiidae,Scutelleridae,Sematuridae,Sepsidae,Sesiidae,Sialidae,Silvanidae,Simuliidae,Sphaeroceridae,Sphecidae,Sphingidae,Staphylinidae,Stathmopodidae,Stenopsocidae,Stenotrachelidae,Stratiomydae,Stratiomyidae,Syrphidae,Tabanidae,Tachinidae,Tenebrionidae,Tenthredinidae,Tephritidae,Tetranychidae,Tettigoniidae,Therevidae,Thomisidae,Thripidae,Thyreocoridae,Tiphiidae,Tipulidae,Tischeriidae,Tortricidae,Torymidae,Trigonidiidae,Triozidae,Trochilidae,Tropiduchidae,Ulidiidae,Vespidae,Xylophagidae,Zygaenidae
Aphloiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apiaceae,2,2,0,0,0,0,0,0,0,56,0,3,0,0,12,0,0,0,0,72,0,5,0,0,2,2,0,0,1,1,0,23,0,11,0,3,0,2,0,0,0,25,0,0,8,1,0,1,1,16,1,0,3,1,1,15,0,0,10,0,1,0,1,2,1,0,0,23,5,1,1,30,3,0,1,9,0,0,0,0,1,0,4,1,1,0,3,6,0,0,1,0,1,2,9,0,1,0,0,4,0,3,0,0,0,8,0,0,0,3,1,0,0,12,0,2,1,1,1,2,0,0,58,0,1,0,0,11,0,0,1,0,1,0,13,0,0,0,1,0,0,2,0,7,0,0,0,0,0,0,1,0,0,1,1,10,2,0,4,0,2,23,0,0,4,6,0,0,0,0,13,0,13,26,1,1,0,0,0,0,0,0,1,11,0,0,0,12,8,0,0,0,0,1,0,0,2,0,0,0,3,6,0,0,0,0,0,2,3,9,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,0,0,2,1,1,0,2,11,12,0,1,0,4,2,1,1,0,5,4,0,0,2,0,0,0,0,0,3,2,1,0,0,0,0,5,107,5,51,0,8,4,0,0,1,0,0,1,4,1,0,1,0,0,0,0,0,0,14,0,0
Apocynaceae,0,0,0,0,0,0,2,0,0,26,0,2,0,0,11,0,0,0,0,57,0,0,0,0,2,0,0,0,0,0,0,8,0,12,0,4,0,0,0,0,0,23,0,0,2,1,0,0,0,9,3,1,4,1,0,5,0,3,9,0,2,0,0,0,0,1,0,2,4,0,0,28,5,0,1,6,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,1,8,0,0,1,0,1,1,0,7,0,0,0,0,0,0,0,0,33,0,0,0,1,6,0,0,0,0,0,0,15,0,0,0,0,0,1,0,1,5,1,0,0,0,0,0,1,1,0,0,0,2,0,0,3,1,1,21,0,0,2,3,1,0,0,1,5,0,5,11,0,0,0,0,0,0,0,0,1,0,5,0,0,8,1,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,29,0,0,1,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,5,0,0,1,15,16,0,0,6,3,0,0,0,0,3,0,0,0,2,1,0,3,0,0,3,2,0,0,0,0,0,1,61,1,51,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0
Aquifoliaceae,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Araceae,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araliaceae,2,1,0,0,0,0,0,0,1,9,0,0,0,0,1,0,0,0,0,37,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,8,0,1,2,0,0,2,0,0,4,0,1,0,0,0,1,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,27,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,3,1,1,0,1,0,0,0,0,5,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,31,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Arecaceae,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,23,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argophyllaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aristolochiaceae,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asparagaceae,0,0,0,0,0,0,0,0,0,16,1,1,0,0,2,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,4,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,3,0,2,3,0,0,5,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,21,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,1,0,1,0,0,0,1,0,0,4,12,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,22,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Asphodelaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Asteraceae,0,2,2,3,0,0,9,0,7,238,0,10,0,0,63,0,0,1,0,631,2,8,0,1,7,2,2,0,0,8,1,128,0,126,2,21,0,6,2,0,1,81,0,0,52,5,0,1,2,106,14,1,20,11,17,93,1,13,71,3,5,1,0,11,3,15,1,64,39,4,0,196,14,0,10,49,1,0,0,4,0,1,26,0,1,0,5,14,1,0,2,1,12,7,60,0,0,1,0,8,0,10,0,0,10,66,0,0,3,3,7,0,0,45,1,1,1,2,23,5,0,0,346,0,0,0,0,80,0,0,0,1,0,1,92,4,0,2,5,0,3,2,7,32,0,0,1,0,0,0,0,1,0,2,0,64,1,0,16,9,5,221,0,3,7,49,0,0,0,3,33,0,47,145,2,4,0,2,2,1,0,4,0,32,30,0,0,146,21,0,0,0,0,0,0,7,23,16,11,1,18,66,0,0,0,0,0,6,9,121,0,1,0,1,20,0,0,4,0,0,23,0,8,10,3,0,0,0,18,0,0,10,58,60,8,15,5,17,14,9,2,6,28,7,0,1,15,3,0,2,0,6,27,23,11,1,0,1,1,41,677,20,341,4,29,6,1,1,0,1,0,5,40,3,0,2,0,1,1,0,0,1,35,0,8
Balsaminaceae,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,10,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berberidaceae,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,3,4,0,0,0,0,0,0,2,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2
Bignoniaceae,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonnetiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boraginaceae,0,0,1,1,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,19,0,6,0,2,0,2,0,0,0,2,0,0,5,0,0,0,1,4,0,0,2,0,0,3,0,0,7,0,0,0,0,0,0,1,0,10,0,0,0,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,0,0,1,5,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,42,0,0,0,0,6,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,47,0,0,1,3,0,1,0,2,4,0,2,9,0,0,0,0,0,0,0,0,0,3,1,0,0,7,2,0,0,0,0,0,0,2,1,0,0,0,2,6,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,8,0,1,0,0,1,0,1,0,4,0,0,0,2,0,0,0,0,0,6,1,1,0,0,0,0,2,33,0,13,2,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0,0
Brassicaceae,0,0,0,0,0,0,0,0,2,32,0,1,0,0,7,0,0,0,0,83,0,0,0,0,0,0,0,0,0,1,0,16,0,22,0,5,0,1,1,0,0,9,0,0,8,0,0,0,1,11,2,0,6,0,12,10,0,4,8,0,0,0,0,1,0,0,0,18,5,0,0,28,3,0,4,6,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,6,0,0,0,0,3,0,1,0,0,3,12,0,0,2,0,1,0,0,14,0,1,0,0,1,0,0,0,61,0,0,0,0,8,0,0,0,0,0,0,12,0,0,0,1,0,3,1,0,2,0,1,0,0,0,0,1,0,0,0,0,4,0,0,1,0,1,28,0,0,1,8,0,0,0,0,7,0,7,19,0,0,0,0,0,0,1,1,0,6,3,0,0,9,3,0,0,0,0,0,0,0,4,1,2,0,1,8,0,0,0,0,0,0,0,29,0,0,0,0,2,0,0,0,0,0,2,0,2,2,0,0,0,0,3,0,1,0,11,9,1,2,2,4,4,0,0,1,1,4,0,0,4,2,0,0,0,0,6,2,2,1,0,0,0,4,88,3,57,0,1,3,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,1
Bromeliaceae,1,0,1,0,0,0,0,0,1,15,0,1,0,0,1,0,0,0,0,90,0,0,0,0,0,0,0,0,1,0,0,20,0,2,0,3,1,0,0,0,0,5,0,0,2,0,0,0,0,4,2,0,0,0,1,6,0,0,9,0,0,0,0,2,0,1,0,4,2,0,0,20,0,0,2,1,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,1,0,6,0,0,0,0,1,0,1,0,0,0,12,0,0,0,0,0,0,0,6,0,2,0,0,1,0,0,0,32,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,2,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,1,2,50,0,1,0,5,0,0,0,1,3,0,3,9,0,0,0,0,0,0,0,3,0,0,2,0,0,20,1,0,0,0,0,0,0,4,0,0,0,0,5,8,0,0,0,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,1,4,10,1,0,0,0,2,1,0,0,9,0,1,1,0,0,0,0,0,0,8,4,0,0,0,0,0,1,29,0,11,0,2,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,10,0,1
